"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Clallam","United States President Democratic Party","Michael Bloomberg"," ","1910","10.2446","Federal"
"Clallam","United States President Democratic Party","Cory Booker"," ","17","0.0912","Federal"
"Clallam","United States President Democratic Party","Pete Buttigieg"," ","921","4.9399","Federal"
"Clallam","United States President Democratic Party","John Delaney"," ","10","0.0536","Federal"
"Clallam","United States President Democratic Party","Tulsi Gabbard"," ","220","1.18","Federal"
"Clallam","United States President Democratic Party","Amy Klobuchar"," ","632","3.3898","Federal"
"Clallam","United States President Democratic Party","Deval Patrick"," ","8","0.0429","Federal"
"Clallam","United States President Democratic Party","Bernie Sanders"," ","5588","29.9721","Federal"
"Clallam","United States President Democratic Party","Tom Steyer"," ","65","0.3486","Federal"
"Clallam","United States President Democratic Party","Elizabeth Warren"," ","1789","9.5956","Federal"
"Clallam","United States President Democratic Party","Andrew Yang"," ","65","0.3486","Federal"
"Clallam","United States President Democratic Party","Uncommitted Delegates"," ","114","0.6115","Federal"
"Clallam","United States President Democratic Party","Write-in"," ","19","0.1019","Federal"
"Clallam","United States President Republican Party","Donald J. Trump"," ","12122","98.5849","Federal"
"Clallam","United States President Republican Party","Write-in"," ","174","1.4151","Federal"
"Clark","United States President Democratic Party","Michael Bennet"," ","137","0.1589","Federal"
"Clark","United States President Democratic Party","Joseph R. Biden"," ","32525","37.732","Federal"
"Clark","United States President Democratic Party","Michael Bloomberg"," ","8296","9.6241","Federal"
"Clark","United States President Democratic Party","Cory Booker"," ","66","0.0766","Federal"
"Clark","United States President Democratic Party","Pete Buttigieg"," ","4332","5.0255","Federal"
"Clark","United States President Democratic Party","John Delaney"," ","33","0.0383","Federal"
"Clark","United States President Democratic Party","Tulsi Gabbard"," ","863","1.0012","Federal"
"Clark","United States President Democratic Party","Amy Klobuchar"," ","1801","2.0893","Federal"
"Clark","United States President Democratic Party","Deval Patrick"," ","36","0.0418","Federal"
"Clark","United States President Democratic Party","Bernie Sanders"," ","30341","35.1984","Federal"
"Clark","United States President Democratic Party","Tom Steyer"," ","250","0.29","Federal"
"Clark","United States President Democratic Party","Elizabeth Warren"," ","6717","7.7923","Federal"
"Clark","United States President Democratic Party","Andrew Yang"," ","370","0.4292","Federal"
"Clark","United States President Democratic Party","Uncommitted Delegates"," ","323","0.3747","Federal"
"Clark","United States President Democratic Party","Write-in"," ","110","0.1276","Federal"
"Clark","United States President Republican Party","Donald J. Trump"," ","51576","98.4087","Federal"
"Clark","United States President Republican Party","Write-in"," ","834","1.5913","Federal"
"Columbia","United States President Democratic Party","Michael Bennet"," ","2","0.3992","Federal"
"Columbia","United States President Democratic Party","Joseph R. Biden"," ","190","37.9242","Federal"
"Columbia","United States President Democratic Party","Michael Bloomberg"," ","69","13.7725","Federal"
"Columbia","United States President Democratic Party","Cory Booker"," ","2","0.3992","Federal"
"Columbia","United States President Democratic Party","Pete Buttigieg"," ","26","5.1896","Federal"
"Columbia","United States President Democratic Party","John Delaney"," ","1","0.1996","Federal"
"Columbia","United States President Democratic Party","Tulsi Gabbard"," ","8","1.5968","Federal"
"Columbia","United States President Democratic Party","Amy Klobuchar"," ","23","4.5908","Federal"
"Columbia","United States President Democratic Party","Deval Patrick"," ","0","0","Federal"
"Columbia","United States President Democratic Party","Bernie Sanders"," ","135","26.9461","Federal"
"Columbia","United States President Democratic Party","Tom Steyer"," ","2","0.3992","Federal"
"Columbia","United States President Democratic Party","Elizabeth Warren"," ","34","6.7864","Federal"
"Columbia","United States President Democratic Party","Andrew Yang"," ","2","0.3992","Federal"
"Columbia","United States President Democratic Party","Uncommitted Delegates"," ","4","0.7984","Federal"
"Columbia","United States President Democratic Party","Write-in"," ","3","0.5988","Federal"
"Columbia","United States President Republican Party","Donald J. Trump"," ","996","98.7116","Federal"
"Columbia","United States President Republican Party","Write-in"," ","13","1.2884","Federal"
"Cowlitz","United States President Democratic Party","Michael Bennet"," ","47","0.2899","Federal"
"Cowlitz","United States President Democratic Party","Joseph R. Biden"," ","6459","39.8409","Federal"
"Cowlitz","United States President Democratic Party","Michael Bloomberg"," ","2091","12.8979","Federal"
"Cowlitz","United States President Democratic Party","Cory Booker"," ","11","0.0679","Federal"
"Cowlitz","United States President Democratic Party","Pete Buttigieg"," ","747","4.6077","Federal"
"Cowlitz","United States President Democratic Party","John Delaney"," ","10","0.0617","Federal"
"Cowlitz","United States President Democratic Party","Tulsi Gabbard"," ","186","1.1473","Federal"
"Cowlitz","United States President Democratic Party","Amy Klobuchar"," ","339","2.091","Federal"
