Office,Parish,Ward,Precinct,"Ben Gibson (REP)","Kenny Houston (DEM)","""Mike"" Johnson (REP)","Ryan Trundle (DEM)"
"U. S. Representative -- 4th Congressional District","Vernon","01","06A","2","5","10","0"
"U. S. Representative -- 4th Congressional District","Vernon","01","06B","3","19","13","2"
"U. S. Representative -- 4th Congressional District","Vernon","01","07","42","21","220","14"
"U. S. Representative -- 4th Congressional District","Vernon","01","07A","0","0","0","0"
"U. S. Representative -- 4th Congressional District","Vernon","01","07B","0","0","0","0"
"U. S. Representative -- 4th Congressional District","Vernon","01","08","17","13","75","2"
"U. S. Representative -- 4th Congressional District","Vernon","01","08A","13","25","84","10"
"U. S. Representative -- 4th Congressional District","Vernon","01","08C","0","0","1","0"
"U. S. Representative -- 4th Congressional District","Vernon","01","08E","0","0","0","0"
"U. S. Representative -- 4th Congressional District","Vernon","01","08F","0","0","0","0"
"U. S. Representative -- 4th Congressional District","Vernon","01","09","7","1","49","2"
"U. S. Representative -- 4th Congressional District","Vernon","02","01","84","22","588","9"
"U. S. Representative -- 4th Congressional District","Vernon","02","01A","9","2","75","1"
"U. S. Representative -- 4th Congressional District","Vernon","02","02","7","1","53","1"
"U. S. Representative -- 4th Congressional District","Vernon","02","02A","14","2","108","1"
"U. S. Representative -- 4th Congressional District","Vernon","02","03","40","6","300","3"
"U. S. Representative -- 4th Congressional District","Vernon","02","03A","10","1","60","0"
"U. S. Representative -- 4th Congressional District","Vernon","02","04","23","7","127","1"
"U. S. Representative -- 4th Congressional District","Vernon","02","04E","10","6","57","3"
"U. S. Representative -- 4th Congressional District","Vernon","03","01","29","2","193","6"
"U. S. Representative -- 4th Congressional District","Vernon","03","02","12","3","86","4"
"U. S. Representative -- 4th Congressional District","Vernon","03","03","8","0","63","0"
"U. S. Representative -- 4th Congressional District","Vernon","03","04","17","5","256","5"
"U. S. Representative -- 4th Congressional District","Vernon","03","05","28","2","195","1"
"U. S. Representative -- 4th Congressional District","Vernon","04","01","24","7","194","6"
"U. S. Representative -- 4th Congressional District","Vernon","04","02","6","6","91","3"
"U. S. Representative -- 4th Congressional District","Vernon","04","03","5","5","46","2"
"U. S. Representative -- 4th Congressional District","Vernon","04","03A","19","9","120","5"
"U. S. Representative -- 4th Congressional District","Vernon","04","03C","2","12","9","5"
"U. S. Representative -- 4th Congressional District","Vernon","04","03E","0","0","0","0"
"U. S. Representative -- 4th Congressional District","Vernon","04","03F","2","1","2","1"
"U. S. Representative -- 4th Congressional District","Vernon","04","03G","8","13","57","9"
"U. S. Representative -- 4th Congressional District","Vernon","04","03J","5","8","40","2"
"U. S. Representative -- 4th Congressional District","Vernon","04","03K","10","21","62","7"
"U. S. Representative -- 4th Congressional District","Vernon","04","03L","12","19","24","6"
"U. S. Representative -- 4th Congressional District","Vernon","04","03M","7","7","14","2"
"U. S. Representative -- 4th Congressional District","Vernon","04","03N","0","0","0","0"
"U. S. Representative -- 4th Congressional District","Vernon","05","01","57","14","534","10"
"U. S. Representative -- 4th Congressional District","Vernon","05","01A","4","1","41","0"
"U. S. Representative -- 4th Congressional District","Vernon","05","02","7","2","181","0"
"U. S. Representative -- 4th Congressional District","Vernon","05","02A","0","0","0","0"
"U. S. Representative -- 4th Congressional District","Vernon","06","01","7","1","63","2"
"U. S. Representative -- 4th Congressional District","Vernon","06","02","12","0","64","2"
"U. S. Representative -- 4th Congressional District","Vernon","06","03","7","0","84","0"
"U. S. Representative -- 4th Congressional District","Vernon","06","04","24","4","243","3"
"U. S. Representative -- 4th Congressional District","Vernon","07","01","35","21","297","10"
"U. S. Representative -- 4th Congressional District","Vernon","07","02","13","5","195","2"
"U. S. Representative -- 4th Congressional District","Vernon","07","02A","50","32","338","9"
"U. S. Representative -- 4th Congressional District","Vernon","07","03","6","2","104","0"
"U. S. Representative -- 4th Congressional District","Vernon","07","04","2","1","24","1"
"U. S. Representative -- 4th Congressional District","Vernon","07","04A","9","3","91","0"
"U. S. Representative -- 4th Congressional District","Vernon","07","05","31","6","315","4"
"U. S. Representative -- 4th Congressional District","Vernon","07","05A","15","16","76","2"
"U. S. Representative -- 4th Congressional District","Vernon","07","05C","11","1","74","2"
"U. S. Representative -- 4th Congressional District","Vernon","08","01","25","4","193","6"
"U. S. Representative -- 4th Congressional District","Vernon","08","02","32","11","217","4"
"U. S. Representative -- 4th Congressional District","Vernon","08","03","15","9","204","0"
"U. S. Representative -- 4th Congressional District","Vernon","Early Voting","","476","1050","4692","402"
"U. S. Representative -- 4th Congressional District","Vernon","Provisional Votes","","1","1","1","0"
"U. S. Representative -- 4th Congressional District","Webster","00","01","19","28","176","11"
"U. S. Representative -- 4th Congressional District","Webster","00","02","11","36","187","8"
"U. S. Representative -- 4th Congressional District","Webster","00","02B","0","0","8","0"
"U. S. Representative -- 4th Congressional District","Webster","00","03","7","39","38","10"
"U. S. Representative -- 4th Congressional District","Webster","00","04","1","101","10","9"
"U. S. Representative -- 4th Congressional District","Webster","00","05","5","14","92","1"
"U. S. Representative -- 4th Congressional District","Webster","00","06","18","153","78","18"
"U. S. Representative -- 4th Congressional District","Webster","00","08","12","2","215","5"
"U. S. Representative -- 4th Congressional District","Webster","00","09","27","23","358","4"
"U. S. Representative -- 4th Congressional District","Webster","00","10","3","1","60","0"
"U. S. Representative -- 4th Congressional District","Webster","00","11","44","19","424","3"
"U. S. Representative -- 4th Congressional District","Webster","00","12","13","99","162","20"
"U. S. Representative -- 4th Congressional District","Webster","00","13","6","4","80","3"
"U. S. Representative -- 4th Congressional District","Webster","00","14","10","16","139","4"
"U. S. Representative -- 4th Congressional District","Webster","00","15","9","20","171","3"
"U. S. Representative -- 4th Congressional District","Webster","00","16","27","25","325","9"
"U. S. Representative -- 4th Congressional District","Webster","00","17","10","26","163","1"
"U. S. Representative -- 4th Congressional District","Webster","00","17A","2","26","24","4"
"U. S. Representative -- 4th Congressional District","Webster","00","18","12","188","92","35"
"U. S. Representative -- 4th Congressional District","Webster","00","22","22","81","210","21"
"U. S. Representative -- 4th Congressional District","Webster","00","24","6","74","9","14"
"U. S. Representative -- 4th Congressional District","Webster","00","25","6","138","16","18"
"U. S. Representative -- 4th Congressional District","Webster","00","25A","2","21","2","0"
"U. S. Representative -- 4th Congressional District","Webster","00","26","8","64","113","8"
"U. S. Representative -- 4th Congressional District","Webster","00","27","2","91","25","10"
"U. S. Representative -- 4th Congressional District","Webster","00","28","12","33","295","16"
"U. S. Representative -- 4th Congressional District","Webster","00","29","7","9","256","7"
"U. S. Representative -- 4th Congressional District","Webster","00","31","14","22","193","5"
"U. S. Representative -- 4th Congressional District","Webster","00","32","14","34","154","18"
"U. S. Representative -- 4th Congressional District","Webster","00","33","10","35","230","4"
"U. S. Representative -- 4th Congressional District","Webster","00","34","5","48","31","16"
"U. S. Representative -- 4th Congressional District","Webster","00","35","21","67","245","16"
"U. S. Representative -- 4th Congressional District","Webster","00","36","4","3","98","1"
"U. S. Representative -- 4th Congressional District","Webster","00","38","2","6","97","4"
"U. S. Representative -- 4th Congressional District","Webster","00","39","21","96","339","19"
"U. S. Representative -- 4th Congressional District","Webster","00","40","12","22","156","11"
"U. S. Representative -- 4th Congressional District","Webster","00","41","62","46","607","18"
"U. S. Representative -- 4th Congressional District","Webster","00","42","20","22","199","13"
"U. S. Representative -- 4th Congressional District","Webster","00","43","29","75","249","14"
"U. S. Representative -- 4th Congressional District","Webster","Early Voting","","296","2344","4801","593"
"U. S. Representative -- 4th Congressional District","Webster","Provisional Votes","","1","0","0","0"
