Office,Parish,Ward,Precinct,"Lee Ann Dugas (DEM)","Howard Kearney (LBT)","Steve Scalise (REP)"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","913","267","24","305"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","914","165","11","143"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","915","143","21","423"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","916","29","4","95"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","917","21","7","141"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","918","28","0","153"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","921","68","4","244"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","922","62","6","112"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","A01","70","5","294"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","A02","91","16","396"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","A03","30","8","146"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","A04","36","7","155"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","C01","29","6","197"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","C02","25","4","162"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","C03","51","8","201"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","C04","24","4","122"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","C05","20","4","128"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","C06","90","16","104"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","C07","46","3","29"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","C08","57","11","64"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","C09","62","12","289"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","C10","17","1","45"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","C11","61","16","274"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","F01","115","13","253"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","M01","65","11","407"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","M02","88","15","311"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","M03","39","12","148"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","M04","57","20","266"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","M05","78","12","203"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","M06","59","12","268"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","M07","44","16","296"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","M08","41","8","260"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","M09","21","2","82"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","M10","91","27","537"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","M11","33","10","290"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","MD1","53","15","379"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","P01","52","24","670"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","S01","71","12","423"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","S02","44","7","195"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","S03","67","13","329"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","S04","47","6","330"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","S05","89","20","484"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","S06","110","21","314"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","S07","125","8","89"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","S08","107","15","273"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","S09","31","9","250"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","S10","87","17","375"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","S11","51","6","254"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","S13","31","6","156"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","S15","105","18","210"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","S16","74","9","206"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","S17","67","7","291"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","S18","37","8","238"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","S19","105","8","62"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","S20","90","14","155"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","S21","134","13","158"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","S22","77","8","273"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","S23","28","6","133"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","S24","103","1","40"
"U. S. Representative -- 1st Congressional District","St. Tammany","00","S25","96","7","79"
"U. S. Representative -- 1st Congressional District","St. Tammany","Early Voting","","20249","1435","50983"
"U. S. Representative -- 1st Congressional District","St. Tammany","Provisional Votes","","2","1","0"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","040","40","8","103"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","040A","151","25","308"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","041","50","11","230"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","042","104","5","85"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","042A","68","6","111"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","043","121","8","36"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","044","86","10","417"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","045","71","11","185"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","045A","207","19","110"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","046","295","15","37"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","047","225","24","63"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","048","82","14","60"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","049","132","18","111"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","070","100","20","506"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","070A","70","15","157"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","071","165","16","323"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","072","179","14","219"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","072A","154","19","504"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","073","69","8","417"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","074","114","23","403"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","119","96","10","240"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","121B","9","1","35"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","122","99","38","611"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","122A","27","7","248"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","122B","67","23","673"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","123","122","7","408"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","124","47","8","247"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","124A","33","6","345"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","127","49","5","82"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","127A","89","11","181"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","129","98","11","43"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","129A","178","10","153"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","133","93","13","287"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","133A","103","16","247"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","137","68","6","517"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","137A","36","7","384"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","137B","125","11","212"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","137C","56","21","753"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","137D","30","3","459"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","139","64","7","143"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","141","88","17","215"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","141A","66","18","268"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","143","107","11","232"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","143A","85","22","337"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","145","117","25","648"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","147","46","11","399"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","149","58","26","737"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","149A","22","6","162"
"U. S. Representative -- 1st Congressional District","Tangipahoa","00","151","58","21","750"
"U. S. Representative -- 1st Congressional District","Tangipahoa","Early Voting","","4364","231","8966"
"U. S. Representative -- 1st Congressional District","Tangipahoa","Provisional Votes","","1","0","3"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","015","37","8","382"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","016","43","3","328"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","020","119","8","209"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","021","39","10","186"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","023","140","11","93"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","025","59","17","349"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","029","21","8","149"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","031","197","11","121"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","032","21","4","147"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","034 A","167","20","51"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","034 M","183","10","31"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","035","23","3","128"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","036","49","4","111"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","038","64","16","261"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","040","89","17","279"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","041","60","4","107"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","043","58","11","396"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","045","22","6","218"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","046","122","12","190"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","048","124","15","75"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","049","100","4","37"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","052","91","18","333"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","053","57","13","257"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","054","16","2","113"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","055","21","7","406"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","056","16","1","177"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","057 A","23","10","304"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","057 L","33","13","339"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","058","17","4","185"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","059 A","52","8","377"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","059 L","61","5","425"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","060","36","11","511"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","061","11","3","163"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","063","26","5","295"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","069","43","12","435"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","071","98","4","61"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","072","42","7","421"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","073","24","6","313"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","078","2","0","2"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","083","39","13","442"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","084","26","3","144"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","085","14","2","309"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","088","25","5","498"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","089","38","5","559"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","090","29","6","345"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","103","55","11","205"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","105","2","0","2"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","106","4","0","6"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","107","0","0","0"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","109","2","0","12"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","110","33","6","115"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","111","61","7","78"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","112","1","0","21"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","115","15","2","1"
"U. S. Representative -- 1st Congressional District","Terrebonne","00","118","0","0","0"
"U. S. Representative -- 1st Congressional District","Terrebonne","Early Voting","","2607","171","8419"
"U. S. Representative -- 1st Congressional District","Terrebonne","Provisional Votes","","0","0","0"
