Office,Parish,Ward,Precinct,"Belden ""Noonie Man"" Batiste (IND)","Glenn Adrain Harris (DEM)","Colby James (IND)","Cedric L. Richmond (DEM)","David M. Schilling (REP)","Sheldon C. Vincent, Sr. (REP)"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","036","14","52","11","253","34","21"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","045","3","41","8","191","4","3"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","050","20","71","6","249","14","4"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","051","14","40","3","197","3","7"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","058 A","7","68","3","202","10","8"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","058 B","13","52","6","148","12","6"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","061","24","93","21","300","5","7"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","062","19","79","5","241","3","3"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","063 A","13","46","3","139","6","3"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","063 B","10","43","4","125","4","3"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","067","5","18","3","172","9","3"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","077 A","9","78","8","232","5","7"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","077 B","16","71","9","214","4","3"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","084","13","92","8","294","15","4"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","085 A","29","74","5","265","6","4"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","085 B","13","80","8","206","7","7"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","086 A","14","34","6","165","1","7"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","086 B","7","41","3","161","4","9"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","091 A","9","39","7","119","5","4"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","091 B","3","43","1","147","3","3"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","092 A","7","27","1","108","1","3"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","092 B","3","27","3","99","2","3"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","093","6","27","4","77","10","5"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","094","6","48","4","172","6","5"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","095 A","12","38","3","219","4","4"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","095 B","11","44","3","190","2","4"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","100 A","9","47","7","64","2","1"
