Office,Parish,Ward,Precinct,"""Rob"" Anderson (DEM)","Braylon Harris (DEM)","Clay Higgins (REP)","Brandon LeLeux (LBT)"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","079","36","12","278","30"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","080","37","16","314","27"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","081","34","18","189","17"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","082","114","63","372","35"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","083","96","61","523","56"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","084","85","40","460","43"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","085","91","74","493","27"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","086","82","55","808","47"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","087","58","47","515","24"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","088","44","18","335","22"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","089","26","9","249","18"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","090","43","32","203","21"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","091","74","71","549","39"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","092","91","119","404","37"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","093","69","79","257","21"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","094","106","87","494","50"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","095","48","43","580","35"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","096","31","47","348","19"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","097","25","35","156","12"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","098","57","67","631","23"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","099","53","114","239","11"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","100","34","37","459","28"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","101","82","76","922","56"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","102","74","68","780","53"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","103","97","88","735","55"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","104","55","35","518","28"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","105","68","32","724","38"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","106","80","59","765","37"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","107","59","33","614","35"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","108","87","60","806","49"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","109","54","47","617","28"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","110","44","69","551","40"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","111","53","41","573","25"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","112","55","90","454","14"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","113","51","119","300","8"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","114","20","28","223","8"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","115","48","37","386","34"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","116","55","70","490","30"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","117","70","54","460","24"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","118","23","40","380","30"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","119","20","13","379","15"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","120","63","39","550","38"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","121","60","16","336","18"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","122","25","47","453","15"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","123","72","126","431","24"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","124","71","57","513","22"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","125","74","36","554","32"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","126","53","41","410","29"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","127","71","48","383","28"
"U. S. Representative -- 3rd Congressional District","Lafayette","00","128","49","33","398","27"
"U. S. Representative -- 3rd Congressional District","Lafayette","Early Voting","","8961","10993","25904","1336"
"U. S. Representative -- 3rd Congressional District","Lafayette","Provisional Votes","","0","0","1","0"
"U. S. Representative -- 3rd Congressional District","St. Landry","02","02","27","21","464","9"
"U. S. Representative -- 3rd Congressional District","St. Landry","02","02A","15","22","54","3"
"U. S. Representative -- 3rd Congressional District","St. Landry","02","08","13","11","174","5"
"U. S. Representative -- 3rd Congressional District","St. Landry","03","03","29","42","319","15"
"U. S. Representative -- 3rd Congressional District","St. Landry","Early Voting","","30","41","182","5"
"U. S. Representative -- 3rd Congressional District","St. Landry","Provisional Votes","","0","0","0","0"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","01","10","1","66","1"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","02","5","7","233","4"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","03","56","83","441","12"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","04","11","10","124","2"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","05","13","11","178","3"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","06","26","10","209","6"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","07","2","5","33","0"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","08","53","166","16","5"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","09","29","82","79","6"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","10","38","85","15","5"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","11","15","44","11","2"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","12","2","5","11","0"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","13","4","5","57","3"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","14","6","22","5","2"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","15","29","99","81","8"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","16","41","83","316","13"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","17","9","41","85","2"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","18","13","12","73","5"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","19","6","15","1","0"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","20","2","3","9","0"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","21","9","3","35","4"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","22","12","13","457","15"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","23","10","2","106","2"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","24","9","18","84","5"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","25","18","42","60","5"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","26","7","6","86","6"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","27","13","28","51","5"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","28","38","96","71","4"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","29","7","26","277","10"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","30","117","218","53","9"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","31","8","7","14","1"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","32","12","7","94","2"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","33","37","43","469","19"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","34","64","139","578","20"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","35","25","6","257","6"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","36","28","77","196","12"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","37","0","0","5","4"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","38","0","0","13","1"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","39","35","56","162","15"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","40","74","116","378","29"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","41","10","18","92","4"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","42","17","32","186","9"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","43","30","32","337","12"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","44","36","27","379","19"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","45","25","52","212","5"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","46","61","149","173","13"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","47","22","43","184","3"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","48","35","47","487","10"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","49","28","36","327","3"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","50","46","99","217","9"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","51","57","115","538","17"
"U. S. Representative -- 3rd Congressional District","St. Martin","Early Voting","","1470","2549","8673","247"
"U. S. Representative -- 3rd Congressional District","St. Martin","Provisional Votes","","0","0","0","0"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","01","4","1","51","0"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","02","18","75","58","2"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","03","27","150","31","6"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","04","7","36","116","1"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","05A","33","119","101","4"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","06","7","13","206","3"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","07","34","71","265","11"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","08","8","31","90","3"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","09","36","172","46","4"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","10","22","139","5","1"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","11","8","36","148","2"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","12","35","127","119","6"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","13","13","54","100","1"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","14","18","63","47","5"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","15","19","71","79","4"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","16","16","42","151","8"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","17","17","58","70","5"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","18","27","133","12","1"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","19","12","76","108","5"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","20","27","135","17","1"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","21","13","28","234","5"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","22","25","114","114","4"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","23","8","26","85","1"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","23A","6","16","104","0"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","24","1","0","27","0"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","24A","22","54","348","9"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","25","9","42","154","3"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","25A","25","57","230","11"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","26","37","162","108","5"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","27","44","111","200","8"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","28","11","62","162","5"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","29","5","21","239","11"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","30","15","19","349","8"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","31","11","11","204","4"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","32","20","12","300","8"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","33","9","16","253","4"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","34","19","23","266","8"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","35","24","24","204","2"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","36","24","60","197","8"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","37","15","12","210","7"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","38","7","22","119","2"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","39","14","39","167","9"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","40","10","26","116","5"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","41","14","45","87","5"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","41A","11","16","106","4"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","42","20","26","182","2"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","43","11","13","235","5"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","44","14","60","18","6"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","45","14","23","157","3"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","46","12","63","1","2"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","47","27","63","231","6"
"U. S. Representative -- 3rd Congressional District","St. Mary","Early Voting","","867","2659","6813","144"
"U. S. Representative -- 3rd Congressional District","St. Mary","Provisional Votes","","0","1","1","0"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","01","18","16","579","11"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","02","43","34","314","10"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","05A","8","3","235","7"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","06","24","12","348","6"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","07A-1","4","0","80","1"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","07B","20","22","421","12"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","08B","6","3","173","4"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","09","47","21","329","9"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","10A","29","24","281","11"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","11","29","19","261","10"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","12","56","67","159","6"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","14","34","13","605","21"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","16","2","2","84","0"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","18","32","19","762","24"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","19A","28","15","545","11"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","19A-1","14","23","129","4"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","19B","2","0","11","0"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","20A-2","4","9","87","4"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","20B-1","6","2","169","5"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","21","6","2","51","0"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","21A","6","2","127","6"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","23","20","17","337","6"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","24","28","21","326","19"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","25","64","51","619","29"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","25A","1","8","113","3"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","26","26","16","280","5"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","26A","13","16","186","3"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","28","12","11","281","9"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","29","13","16","212","8"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","32B","22","58","24","2"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","34","15","40","105","4"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","34A","22","44","32","1"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","35","26","31","126","11"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","36A-1","15","28","31","3"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","37","45","168","51","7"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","38","39","118","27","1"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","39","27","52","63","6"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","40","25","22","334","17"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","41","3","3","44","1"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","42A","29","29","258","5"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","42B","0","3","28","0"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","44","13","16","311","9"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","45A","13","6","223","1"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","46A","25","15","109","3"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","46B-1","13","49","124","3"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","46B-2","9","23","30","6"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","46B-3","5","10","43","1"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","46B-4","29","35","149","6"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","49B-1","30","34","815","21"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","49B-2","10","2","113","3"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","50A","29","15","370","7"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","51","31","23","294","5"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","53","43","61","714","24"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","57A","29","17","376","3"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","57B","3","2","90","3"
"U. S. Representative -- 3rd Congressional District","Vermilion","Early Voting","","1045","1074","7893","163"
"U. S. Representative -- 3rd Congressional District","Vermilion","Provisional Votes","","0","0","0","0"
