ContestId	ContestExtId	ContestName	ContestPartyAffiliation	ContestVoteFor	ContestType	ContestOrder	PrecinctId	PrecinctExtId	PrecinctName	PrecinctOrder	PrecinctStatus	PrecinctRegistered	PrecinctTurnout	PrecinctTurnoutPerc	CandidateId	CandidateExtId	CandidateName	CandidateType	CandidateAffiliation	CandidateOrder	Registered	Turnout	TurnoutPerc	Overvotes	Undervotes	Votes	Turnout_Election Day	Overvotes_Election Day	Undervotes_Election Day	Votes_Election Day	Turnout_Early Vote	Overvotes_Early Vote	Undervotes_Early Vote	Votes_Early Vote
1		Democratic Presidential Preference		1	Candidacy	1	1		7101	2	0	445	106	0.24	1		KLOBUCHAR, AMY	R	DEM	1	445	106	0.24	1	0	0	63	0	0	0	43	1	0	0
1		Democratic Presidential Preference		1	Candidacy	1	1		7101	2	0	445	106	0.24	2		GABBARD, TULSI	R	DEM	2	445	106	0.24	1	0	0	63	0	0	0	43	1	0	0
1		Democratic Presidential Preference		1	Candidacy	1	1		7101	2	0	445	106	0.24	3		DE LA FUENTE, ROQUE "ROCKY"	R	DEM	3	445	106	0.24	1	0	0	63	0	0	0	43	1	0	0
1		Democratic Presidential Preference		1	Candidacy	1	1		7101	2	0	445	106	0.24	4		CASTRO, JULIÁN	R	DEM	4	445	106	0.24	1	0	1	63	0	0	0	43	1	0	1
1		Democratic Presidential Preference		1	Candidacy	1	1		7101	2	0	445	106	0.24	5		DELANEY, JOHN	R	DEM	5	445	106	0.24	1	0	0	63	0	0	0	43	1	0	0
1		Democratic Presidential Preference		1	Candidacy	1	1		7101	2	0	445	106	0.24	6		BUTTIGIEG, PETE	R	DEM	6	445	106	0.24	1	0	2	63	0	0	0	43	1	0	2
1		Democratic Presidential Preference		1	Candidacy	1	1		7101	2	0	445	106	0.24	7		BLOOMBERG, MICHAEL R.	R	DEM	7	445	106	0.24	1	0	5	63	0	0	0	43	1	0	5
1		Democratic Presidential Preference		1	Candidacy	1	1		7101	2	0	445	106	0.24	8		WILLIAMSON, MARIANNE	R	DEM	8	445	106	0.24	1	0	0	63	0	0	0	43	1	0	0
1		Democratic Presidential Preference		1	Candidacy	1	1		7101	2	0	445	106	0.24	9		YANG, ANDREW	R	DEM	9	445	106	0.24	1	0	0	63	0	0	0	43	1	0	0
1		Democratic Presidential Preference		1	Candidacy	1	1		7101	2	0	445	106	0.24	10		STEYER, TOM	R	DEM	10	445	106	0.24	1	0	0	63	0	0	0	43	1	0	0
1		Democratic Presidential Preference		1	Candidacy	1	1		7101	2	0	445	106	0.24	11		PATRICK, DEVAL	R	DEM	11	445	106	0.24	1	0	0	63	0	0	0	43	1	0	0
1		Democratic Presidential Preference		1	Candidacy	1	1		7101	2	0	445	106	0.24	12		SANDERS, BERNIE	R	DEM	12	445	106	0.24	1	0	41	63	0	0	25	43	1	0	16
1		Democratic Presidential Preference		1	Candidacy	1	1		7101	2	0	445	106	0.24	13		ELLINGER, MICHAEL	R	DEM	13	445	106	0.24	1	0	0	63	0	0	0	43	1	0	0
1		Democratic Presidential Preference		1	Candidacy	1	1		7101	2	0	445	106	0.24	14		BENNET, MICHAEL	R	DEM	14	445	106	0.24	1	0	0	63	0	0	0	43	1	0	0
1		Democratic Presidential Preference		1	Candidacy	1	1		7101	2	0	445	106	0.24	15		HEWES, HENRY	R	DEM	15	445	106	0.24	1	0	0	63	0	0	0	43	1	0	0
1		Democratic Presidential Preference		1	Candidacy	1	1		7101	2	0	445	106	0.24	16		BOOKER, CORY	R	DEM	16	445	106	0.24	1	0	0	63	0	0	0	43	1	0	0
1		Democratic Presidential Preference		1	Candidacy	1	1		7101	2	0	445	106	0.24	17		WARREN, ELIZABETH	R	DEM	17	445	106	0.24	1	0	2	63	0	0	0	43	1	0	2
1		Democratic Presidential Preference		1	Candidacy	1	1		7101	2	0	445	106	0.24	18		BIDEN, JOSEPH	R	DEM	18	445	106	0.24	1	0	54	63	0	0	38	43	1	0	16
1		Democratic Presidential Preference		1	Candidacy	1	2		7102	3	0	210	53	0.25	1		KLOBUCHAR, AMY	R	DEM	1	210	53	0.25	0	0	0	29	0	0	0	24	0	0	0
1		Democratic Presidential Preference		1	Candidacy	1	2		7102	3	0	210	53	0.25	2		GABBARD, TULSI	R	DEM	2	210	53	0.25	0	0	0	29	0	0	0	24	0	0	0
1		Democratic Presidential Preference		1	Candidacy	1	2		7102	3	0	210	53	0.25	3		DE LA FUENTE, ROQUE "ROCKY"	R	DEM	3	210	53	0.25	0	0	0	29	0	0	0	24	0	0	0
1		Democratic Presidential Preference		1	Candidacy	1	2		7102	3	0	210	53	0.25	4		CASTRO, JULIÁN	R	DEM	4	210	53	0.25	0	0	0	29	0	0	0	24	0	0	0
1		Democratic Presidential Preference		1	Candidacy	1	2		7102	3	0	210	53	0.25	5		DELANEY, JOHN	R	DEM	5	210	53	0.25	0	0	0	29	0	0	0	24	0	0	0
1		Democratic Presidential Preference		1	Candidacy	1	2		7102	3	0	210	53	0.25	6		BUTTIGIEG, PETE	R	DEM	6	210	53	0.25	0	0	0	29	0	0	0	24	0	0	0
1		Democratic Presidential Preference		1	Candidacy	1	2		7102	3	0	210	53	0.25	7		BLOOMBERG, MICHAEL R.	R	DEM	7	210	53	0.25	0	0	5	29	0	0	0	24	0	0	5
1		Democratic Presidential Preference		1	Candidacy	1	2		7102	3	0	210	53	0.25	8		WILLIAMSON, MARIANNE	R	DEM	8	210	53	0.25	0	0	0	29	0	0	0	24	0	0	0
1		Democratic Presidential Preference		1	Candidacy	1	2		7102	3	0	210	53	0.25	9		YANG, ANDREW	R	DEM	9	210	53	0.25	0	0	0	29	0	0	0	24	0	0	0
1		Democratic Presidential Preference		1	Candidacy	1	2		7102	3	0	210	53	0.25	10		STEYER, TOM	R	DEM	10	210	53	0.25	0	0	0	29	0	0	0	24	0	0	0
1		Democratic Presidential Preference		1	Candidacy	1	2		7102	3	0	210	53	0.25	11		PATRICK, DEVAL	R	DEM	11	210	53	0.25	0	0	0	29	0	0	0	24	0	0	0
1		Democratic Presidential Preference		1	Candidacy	1	2		7102	3	0	210	53	0.25	12		SANDERS, BERNIE	R	DEM	12	210	53	0.25	0	0	31	29	0	0	19	24	0	0	12
1		Democratic Presidential Preference		1	Candidacy	1	2		7102	3	0	210	53	0.25	13		ELLINGER, MICHAEL	R	DEM	13	210	53	0.25	0	0	0	29	0	0	0	24	0	0	0
1		Democratic Presidential Preference		1	Candidacy	1	2		7102	3	0	210	53	0.25	14		BENNET, MICHAEL	R	DEM	14	210	53	0.25	0	0	0	29	0	0	0	24	0	0	0
1		Democratic Presidential Preference		1	Candidacy	1	2		7102	3	0	210	53	0.25	15		HEWES, HENRY	R	DEM	15	210	53	0.25	0	0	0	29	0	0	0	24	0	0	0
1		Democratic Presidential Preference		1	Candidacy	1	2		7102	3	0	210	53	0.25	16		BOOKER, CORY	R	DEM	16	210	53	0.25	0	0	0	29	0	0	0	24	0	0	0
