




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Whitfield                     46058                         27432                         59.56%
Wilcox                        4237                          2824                          66.65%
Wilkes                        6345                          4394                          69.25%
Wilkinson                     6016                          4276                          71.08%
Worth                         12645                         7867                          62.21%
Total:                        6428581                       3949905                       61.44%

                                                                                                                                                                                                                                                       Governor
                                                            BRIAN KEMP  (REP)                                                                                                                                     STACEY ABRAMS  (DEM)                                                                                                                                  TED METZ (LIB)                                                                                                                                        
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Appling                       10613                         2334                          357                           2735                          2                             5428                          630                           170                           557                           1                             1358                          14                            3                             6                             0                             23                            6809                          
Atkinson                      4252                          808                           45                            1022                          1                             1876                          333                           43                            260                           1                             637                           6                             0                             3                             0                             9                             2522                          
Bacon                         6010                          609                           127                           2585                          0                             3321                          211                           46                            231                           1                             489                           7                             1                             12                            0                             20                            3830                          
Baker                         2232                          409                           60                            284                           0                             753                           254                           80                            199                           2                             535                           2                             1                             2                             0                             5                             1293                          
Baldwin                       23399                         3054                          336                           4345                          0                             7735                          3070                          813                           3907                          3                             7793                          56                            9                             43                            0                             108                           15636                         
Banks                         10807                         3471                          178                           2500                          1                             6150                          349                           40                            256                           0                             645                           38                            4                             15                            0                             57                            6852                          
Barrow                        47514                         10278                         687                           9195                          2                             20162                         3400                          561                           2934                          5                             6900                          234                           15                            94                            0                             343                           27405                         
Bartow                        64074                         15129                         971                           12305                         20                            28425                         4160                          586                           3767                          11                            8524                          295                           11                            103                           1                             410                           37359                         
Ben Hill                      9258                          931                           89                            2518                          1                             3539                          671                           227                           1073                          12                            1983                          6                             4                             14                            1                             25                            5547                          
Berrien                       10247                         2299                          224                           2788                          3                             5314                          452                           93                            353                           2                             900                           21                            5                             12                            0                             38                            6252                          
Bibb                          99934                         14025                         1184                          7971                          45                            23225                         15527                         3241                          18114                         184                           37066                         264                           36                            98                            3                             401                           60692                         
Bleckley                      6944                          1342                          142                           2332                          0                             3816                          426                           112                           459                           5                             1002                          25                            3                             14                            0                             42                            4860                          
Brantley                      9984                          2405                          150                           2640                          3                             5198                          206                           35                            218                           2                             461                           22                            3                             10                            0                             35                            5694                          
Brooks                        9911                          1799                          100                           1602                          10                            3511                          1003                          363                           806                           16                            2188                          12                            2                             9                             0                             23                            5722                          
Bryan                         25712                         4253                          232                           6009                          13                            10507                         1695                          348                           2268                          2                             4313                          98                            2                             65                            0                             165                           14985                         
Bulloch                       39983                         7583                          525                           6677                          63                            14848                         3588                          537                           4432                          73                            8630                          126                           14                            61                            4                             205                           23683                         
Burke                         14449                         2310                          242                           1858                          0                             4410                          2212                          724                           1331                          2                             4269                          30                            2                             10                            0                             42                            8721                          
Butts                         15280                         1412                          203                           4743                          0                             6358                          778                           174                           1499                          0                             2451                          16                            3                             35                            0                             54                            8863                          
Calhoun                       2982                          430                           36                            344                           0                             810                           676                           148                           260                           0                             1084                          1                             1                             3                             0                             5                             1899                          
Camden                        31632                         5265                          508                           5362                          4                             11139                         2372                          678                           2673                          4                             5727                          138                           7                             50                            0                             195                           17061                         
Candler                       5572                          687                           58                            1815                          0                             2560                          387                           61                            514                           1                             963                           9                             1                             6                             0                             16                            3539                          
Carroll                       72908                         14544                         810                           13782                         68                            29204                         5276                          698                           6170                          36                            12180                         301                           10                            148                           0                             459                           41843                         
Catoosa                       40513                         7481                          367                           11008                         25                            18881                         1860                          169                           2553                          8                             4590                          171                           4                             112                           0                             287                           23758                         
Charlton                      6072                          1243                          101                           1182                          8                             2534                          402                           60                            360                           0                             822                           12                            0                             7                             0                             19                            3375                          
Chatham                       188315                        28456                         1602                          11311                         56                            41425                         35520                         4525                          20869                         145                           61059                         847                           50                            158                           4                             1059                          103543                        
Chattahoochee                 3132                          337                           15                            249                           2                             603                           232                           20                            241                           1                             494                           5                             0                             3                             0                             8                             1105                          
Chattooga                     11099                         3035                          141                           2755                          5                             5936                          689                           84                            670                           2                             1445                          26                            0                             27                            0                             53                            7434                          
Cherokee                      165612                        37596                         3168                          35858                         78                            76700                         13653                         2074                          12287                         33                            28047                         1173                          70                            420                           1                             1664                          106411                        
Clarke                        70597                         6627                          912                           4822                          4                             12365                         13301                         2082                          15009                         35                            30427                         354                           28                            126                           2                             510                           43302                         
Clay                          1856                          156                           42                            338                           0                             536                           303                           100                           239                           0                             642                           5                             1                             2                             0                             8                             1186                          
Clayton                       169574                        4382                          745                           5720                          21                            10868                         33744                         5061                          41817                         349                           80971                         196                           41                            134                           2                             373                           92212                         
Clinch                        3884                          638                           52                            1025                          2                             1717                          269                           57                            206                           2                             534                           2                             0                             5                             0                             7                             2258                          
Cobb                          486696                        84398                         9824                          44272                         358                           138852                        85317                         15780                         66610                         1060                          168767                        3211                          297                           672                           15                            4195                          311814                        
Coffee                        21900                         2946                          180                           5794                          9                             8929                          1558                          212                           1850                          10                            3630                          32                            3                             20                            1                             56                            12615                         
Colquitt                      21948                         4831                          255                           4739                          5                             9830                          1493                          253                           1303                          5                             3054                          44                            6                             29                            0                             79                            12963                         
Columbia                      95779                         19711                         1304                          19905                         27                            40947                         8803                          1597                          9607                          16                            20023                         455                           35                            174                           0                             664                           61634                         
Cook                          9423                          1625                          116                           2375                          0                             4116                          855                           126                           686                           0                             1667                          10                            2                             8                             0                             20                            5803                          
Coweta                        91585                         21166                         1501                          17799                         5                             40471                         7949                          1281                          7668                          10                            16908                         488                           30                            174                           0                             692                           58071                         
Crawford                      7459                          1594                          126                           1873                          2                             3595                          513                           105                           683                           1                             1302                          23                            3                             11                            0                             37                            4934                          
Crisp                         11674                         1411                          192                           2824                          18                            4445                          1048                          170                           1351                          8                             2577                          11                            1                             16                            0                             28                            7050                          
Dade                          10496                         2271                          84                            2141                          12                            4508                          441                           45                            398                           0                             884                           48                            0                             22                            0                             70                            5462                          
Dawson                        18278                         3502                          319                           6122                          10                            9953                          543                           117                           858                           1                             1519                          66                            3                             40                            0                             109                           11581                         
Decatur                       15201                         2421                          181                           2839                          51                            5492                          1791                          364                           1408                          52                            3615                          23                            3                             13                            0                             39                            9146                          
DeKalb                        494731                        26461                         2870                          19448                         144                           48923                         112096                        16641                         130688                        1617                          261042                        1925                          161                           678                           12                            2776                          312741                        
Dodge                         11055                         2355                          262                           2596                          7                             5220                          822                           184                           808                           3                             1817                          15                            2                             7                             0                             24                            7061                          
Dooly                         5669                          760                           60                            1180                          1                             2001                          941                           136                           704                           1                             1782                          7                             0                             5                             0                             12                            3795                          
Dougherty                     57817                         6188                          360                           2773                          9                             9330                          11753                         1574                          8534                          119                           21980                         80                            10                            25                            0                             115                           31425                         
Douglas                       89305                         8633                          978                           12122                         11                            21744                         12827                         2230                          17949                         47                            33053                         285                           25                            148                           0                             458                           55255                         
Early                         6992                          1063                          223                           995                           4                             2285                          1021                          246                           573                           0                             1840                          5                             4                             1                             0                             10                            4135                          
Echols                        1929                          290                           28                            690                           0                             1008                          47                            7                             72                            0                             126                           4                             0                             5                             0                             9                             1143                          
Effingham                     38132                         9029                          419                           8518                          3                             17969                         2683                          324                           2135                          3                             5145                          186                           7                             64                            0                             257                           23371                         
Elbert                        11123                         2190                          235                           2697                          30                            5152                          823                           323                           1010                          38                            2194                          21                            5                             15                            1                             42                            7388                          
